county,survey_date,avg_rain_3m,survey_round,raw_date,gam_percent,emergency_or_not_emergency,year,month,start_window,end_window,events_3m,fatalities_3m,displaced_3m,price_3m,wasting_binary
Abiemnhom,2019-07-01,75.25769373014734,r24,Jul-19,15.5,Yes,2019,Jul,2019-04-01,2019-07-01,0,0,0,NA,1
Abiemnhom,2019-12-01,114.6656738205746,r25,Dec-19,12.6,No,2019,Dec,2019-09-01,2019-12-01,0,0,0,NA,0
Abiemnhom,2020-09-01,117.08533882348276,r26,Sep-20,17.3,Yes,2020,Sep,2020-06-01,2020-09-01,0,0,0,3589.85247036223,1
Abiemnhom,2021-10-01,137.5487219588873,r27,Oct-21,17.3,Yes,2021,Oct,2021-07-01,2021-10-01,0,0,0,6189.847854667345,1
Abiemnhom,2022-08-01,88.24281081007048,r28,Aug-22,17.1,Yes,2022,Aug,2022-05-01,2022-08-01,0,0,0,6007.211123214285,1
Abiemnhom,2023-07-01,53.63463724430433,r29,Jul-23,7.7,No,2023,Jul,2023-04-01,2023-07-01,4,6,14114,NA,0
Abiemnhom,2024-07-01,53.32052297944901,r30,Jul-24,18.5,Yes,2024,Jul,2024-04-01,2024-07-01,6,6,76445,NA,1
Akobo,2019-07-01,89.29247300884572,r24,Jul-19,18.9,Yes,2019,Jul,2019-04-01,2019-07-01,0,0,0,NA,1
Akobo,2019-12-01,139.37432739836382,r25,Dec-19,19.2,Yes,2019,Dec,2019-09-01,2019-12-01,0,0,0,NA,1
Akobo,2020-09-01,156.87532591645837,r26,Sep-20,3.4,No,2020,Sep,2020-06-01,2020-09-01,0,0,0,NA,0
Akobo,2021-10-01,137.78318190020963,r27,Oct-21,3.4,No,2021,Oct,2021-07-01,2021-10-01,0,0,0,8029.26494931187,0
Akobo,2022-08-01,119.43592504981396,r28,Aug-22,19.9,Yes,2022,Aug,2022-05-01,2022-08-01,1,0,1257,6874.071440970314,1
Akobo,2023-07-01,81.80401975698999,r29,Jul-23,19.7,Yes,2023,Jul,2023-04-01,2023-07-01,75,90,290318,3259.2051702479635,1
Akobo,2024-07-01,81.36046523593643,r30,Jul-24,20.3,Yes,2024,Jul,2024-04-01,2024-07-01,76,97,340882,5014.850539396135,1
